dataset,method,label,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
main,noisy_ce,Noisy-CE,12,0.8721842476496617,0.030600083072660687,0.1821527387055334,0.09348769636551817,0.17841027428706488,0.04580785415534422
main,cdro_fixed,CDRO-Fixed,12,0.8582869059081462,0.038052672922360954,0.2079910741490854,0.12586797356913135,0.17087136612584194,0.07070151554625
main,cdro_ug,CDRO-UG(sw0),12,0.8661185996755012,0.03059073869861467,0.1834195454529735,0.10596328950887128,0.19505927649637064,0.05559852933573343
main,xgboost_weak,XGBoost(weak),12,0.8128943140042417,0.04394747147049927,0.265131918512832,0.06074178270923474,0.1803702643762032,0.0403110867416804
main,pignn_clean,PI-GNN(clean),12,0.9951478004338757,0.0033373792800415903,0.0,0.0,0.0,0.0
external_j,noisy_ce,Noisy-CE,12,0.8875553012739794,0.02824226715760833,0.26951041770181194,0.0770496872616839,0.1714120755592982,0.05091550313259112
external_j,cdro_fixed,CDRO-Fixed,12,0.8880494161052963,0.02891138019152802,0.23681288650731164,0.07007284886499067,0.22252900960544744,0.08008529234218897
external_j,cdro_ug,CDRO-UG(sw0),12,0.8852478331808249,0.025005098548599787,0.22588047862568383,0.04981735999325368,0.18259569257497787,0.05436751030802194
external_j,xgboost_weak,XGBoost(weak),12,0.8379351962667737,0.05474947106052516,0.11282923989124924,0.04577355886773358,0.21000631401936212,0.09239034762048783
external_j,pignn_clean,PI-GNN(clean),12,0.9932015921649316,0.004300335745921203,0.0,0.0,0.0,0.0
