dataset,family,method,label,n_runs,f1_mean,f1_std,recall_mean,recall_std,fpr_mean,fpr_std,attack_nodes_mean
main,slowburn,noisy_ce,Noisy-CE,9,0.8736428776980615,0.03422768637182328,0.892452158793759,0.07912517531169308,0.14407637421451153,0.07707117161512236,527.3333333333334
main,slowburn,cdro_fixed,CDRO-Fixed,9,0.8659348975803416,0.051279454116014,0.885021264768782,0.08620236636395076,0.14747796286339435,0.06426942558590043,527.3333333333334
main,slowburn,cdro_ug,CDRO-UG(sw0),9,0.8694427945745592,0.038397175492054215,0.8867615262273925,0.08178638913883403,0.1442258039963178,0.09896735262219729,527.3333333333334
main,burst,noisy_ce,Noisy-CE,9,0.4677369353496814,0.09085482195049391,0.5156707784187734,0.13424353804134576,0.14407637421451153,0.07707117161512236,112.66666666666667
main,burst,cdro_fixed,CDRO-Fixed,9,0.4438170424027921,0.07427064043714264,0.4879617904100808,0.10049637136332243,0.14747796286339435,0.06426942558590043,112.66666666666667
main,burst,cdro_ug,CDRO-UG(sw0),9,0.43328756441314614,0.08567566787142068,0.46375717211512907,0.10940078945154766,0.1442258039963178,0.09896735262219729,112.66666666666667
main,mimic,noisy_ce,Noisy-CE,12,0.7731223084397396,0.0884074784614711,0.9907700944455452,0.011875096544904807,0.1821527387055334,0.09764471426404449,203.25
main,mimic,cdro_fixed,CDRO-Fixed,12,0.7574206681692567,0.10292911251836474,0.9882536413054426,0.012623294981888602,0.2079910741490854,0.1314648107928487,203.25
main,mimic,cdro_ug,CDRO-UG(sw0),12,0.7745446559051707,0.09746950015997312,0.9925120533650353,0.008685593848310691,0.1834195454529735,0.11067504633035581,203.25
external_j,slowburn,noisy_ce,Noisy-CE,9,0.8476004340753732,0.03634965572764605,0.9495486740202649,0.020212661372281563,0.2943456225777601,0.07741956716669503,466.0
external_j,slowburn,cdro_fixed,CDRO-Fixed,9,0.8579893928607761,0.03328147515018643,0.9426800407170751,0.03428768528049939,0.2565126030792333,0.06919361736929326,466.0
external_j,slowburn,cdro_ug,CDRO-UG(sw0),9,0.8604839903251746,0.03453339942122151,0.934706295578441,0.023105399673347536,0.23553196061394413,0.05718008281530307,466.0
external_j,burst,noisy_ce,Noisy-CE,9,0.5069477255082417,0.08826717195069059,0.9951690821256038,0.014492753623188396,0.2943456225777601,0.07741956716669503,66.66666666666667
external_j,burst,cdro_fixed,CDRO-Fixed,9,0.47819495911466714,0.10548285390765745,0.8489138880443229,0.15224760008644908,0.2565126030792333,0.06919361736929326,66.66666666666667
external_j,burst,cdro_ug,CDRO-UG(sw0),9,0.45457861764053825,0.060008815161713254,0.7684684075988424,0.1409081490063783,0.23553196061394413,0.05718008281530307,66.66666666666667
external_j,mimic,noisy_ce,Noisy-CE,12,0.6027365859690625,0.19369728465839953,1.0,0.0,0.26951041770181194,0.08047577370380116,140.25
external_j,mimic,cdro_fixed,CDRO-Fixed,12,0.6287473735450796,0.18656257744555985,0.9954796577399317,0.008871818333657196,0.23681288650731164,0.07318870365933276,140.25
external_j,mimic,cdro_ug,CDRO-UG(sw0),12,0.6416546128013237,0.1746722443587958,0.9975344522604797,0.005178204463225387,0.22588047862568383,0.05203253552116056,140.25
