setting,variant,variant_label,n,f1_mean,f1_std,recall_mean,recall_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std,delta_f1_vs_full,p_f1_vs_full,delta_fpr_vs_full,p_fpr_vs_full
main,sw0_full,Full,12,0.8661185996755012,0.031950984519648576,0.8769848678998623,0.09627768485787697,0.1834195454529735,0.11067504633035581,0.19505927649637064,0.05807076996809146,0.13351751553515592,0.03656148863811728,,,,
main,sw0_lossonly,Loss-only,12,0.8653570428762584,0.033628300372279964,0.8757472671892367,0.09969839303494246,0.18271741245865067,0.10837226918501536,0.19535323418676853,0.05601047852495714,0.13305552738408247,0.037623159913384295,-0.0007615567992428537,0.5372223578227971,-0.0007021329943228544,0.5626067854527703
main,sw0_uniform,Uniform,12,0.8620356971082112,0.034178579537577386,0.8710180247282044,0.10186495123914159,0.18597068125588698,0.11506694512896301,0.19375739184518656,0.05859435604734988,0.13370957660178343,0.0366992877988239,-0.004082902567290075,0.014888943129118867,0.002551135802913449,0.4474005369782768
main,sw0_b035,b=0.35,12,0.8624096286422234,0.03168533927100607,0.8754031707336198,0.09775628810225971,0.1914075794647635,0.11282164475357606,0.19810041164358458,0.052615571179988795,0.13317403011023998,0.03732733540673271,-0.0037089710332779136,0.26678057114962167,0.007988034011789982,0.5357578716133756
main,sw0_b075,b=0.75,12,0.8663249606795561,0.03513598069019085,0.870594104283669,0.09927763016057314,0.17019753995450618,0.10362922120683754,0.19057947086791197,0.0655281437011072,0.13173615590979657,0.038095714086509525,0.00020636100405486504,0.9604588723456188,-0.013222005498467334,0.5015865267268733
batch2,sw0_full,Full,12,0.8852478331808249,0.026116973653688837,0.9418858516415374,0.04363284286386016,0.22588047862568383,0.05203253552116056,0.18259569257497787,0.0567850125274062,0.13048297384132942,0.045941229112893736,,,,
batch2,sw0_lossonly,Loss-only,12,0.8844381133893203,0.026327172231295454,0.9396749762525713,0.045332862872258066,0.22471793088159978,0.0510465879402038,0.18292284353325763,0.0584423719818438,0.13030662294477224,0.04610228165858263,-0.0008097197915044966,0.32828899194532585,-0.001162547744084065,0.12521357090554064
batch2,sw0_uniform,Uniform,12,0.8849595440859336,0.02341927991979326,0.935791582849006,0.04759784697914421,0.22059868979276712,0.055320167854483765,0.17975055860976377,0.055832108476606336,0.12919810445358357,0.04538086146517347,-0.0002882890948912864,0.9253112033195021,-0.005281788832916728,0.7266292409079814
batch2,sw0_b035,b=0.35,12,0.8838199704390953,0.02504131673656676,0.9467612793042028,0.04151165024690198,0.23773528055302873,0.05373278330655102,0.18496489400664964,0.04642713248596937,0.12819234685351452,0.03977117439257279,-0.0014278627417295593,0.4005369782767879,0.011854801927344906,0.000732243104710764
batch2,sw0_b075,b=0.75,12,0.8819394617675421,0.02945519301182425,0.939379718590352,0.047686448398946486,0.23020579324613907,0.06378546875447663,0.17482315997282663,0.06079108973979905,0.12787453209360441,0.04354756365034314,-0.0033083714132827458,0.09787649499633878,0.004325314620455242,0.6036123993165731
